PSNR - 0028.png: 7.3809, num_target: 20.0000, num_group: 10.0000
RSE - 0028.png: 0.6801, num_target: 20.0000, num_group: 10.0000
Time - 0028.png: 1.2862, num_target: 20.0000, num_group: 10.0000
PSNR - 0028.png: 8.5409, num_target: 20.0000, num_group: 15.0000
RSE - 0028.png: 0.5951, num_target: 20.0000, num_group: 15.0000
Time - 0028.png: 2.1516, num_target: 20.0000, num_group: 15.0000
PSNR - 0028.png: 10.3449, num_target: 20.0000, num_group: 20.0000
RSE - 0028.png: 0.4835, num_target: 20.0000, num_group: 20.0000
Time - 0028.png: 2.9682, num_target: 20.0000, num_group: 20.0000
PSNR - 0028.png: 11.0888, num_target: 20.0000, num_group: 25.0000
RSE - 0028.png: 0.4438, num_target: 20.0000, num_group: 25.0000
Time - 0028.png: 5.0598, num_target: 20.0000, num_group: 25.0000
PSNR - 0028.png: 10.0856, num_target: 20.0000, num_group: 30.0000
RSE - 0028.png: 0.4981, num_target: 20.0000, num_group: 30.0000
Time - 0028.png: 5.6990, num_target: 20.0000, num_group: 30.0000
PSNR - 0028.png: 11.9714, num_target: 20.0000, num_group: 35.0000
RSE - 0028.png: 0.4009, num_target: 20.0000, num_group: 35.0000
Time - 0028.png: 6.9721, num_target: 20.0000, num_group: 35.0000
PSNR - 0028.png: 13.1139, num_target: 20.0000, num_group: 40.0000
RSE - 0028.png: 0.3515, num_target: 20.0000, num_group: 40.0000
Time - 0028.png: 8.0679, num_target: 20.0000, num_group: 40.0000
PSNR - 0028.png: 17.3870, num_target: 20.0000, num_group: 45.0000
RSE - 0028.png: 0.2149, num_target: 20.0000, num_group: 45.0000
Time - 0028.png: 11.4530, num_target: 20.0000, num_group: 45.0000
PSNR - 0028.png: 15.4460, num_target: 20.0000, num_group: 50.0000
RSE - 0028.png: 0.2687, num_target: 20.0000, num_group: 50.0000
Time - 0028.png: 13.9591, num_target: 20.0000, num_group: 50.0000
PSNR - 0028.png: 8.7146, num_target: 25.0000, num_group: 10.0000
RSE - 0028.png: 0.5833, num_target: 25.0000, num_group: 10.0000
Time - 0028.png: 1.3441, num_target: 25.0000, num_group: 10.0000
PSNR - 0028.png: 7.8707, num_target: 25.0000, num_group: 15.0000
RSE - 0028.png: 0.6428, num_target: 25.0000, num_group: 15.0000
Time - 0028.png: 2.1502, num_target: 25.0000, num_group: 15.0000
PSNR - 0028.png: 8.8306, num_target: 25.0000, num_group: 20.0000
RSE - 0028.png: 0.5756, num_target: 25.0000, num_group: 20.0000
Time - 0028.png: 3.3380, num_target: 25.0000, num_group: 20.0000
PSNR - 0028.png: 9.4682, num_target: 25.0000, num_group: 25.0000
RSE - 0028.png: 0.5348, num_target: 25.0000, num_group: 25.0000
Time - 0028.png: 4.1650, num_target: 25.0000, num_group: 25.0000
PSNR - 0028.png: 11.6679, num_target: 25.0000, num_group: 30.0000
RSE - 0028.png: 0.4152, num_target: 25.0000, num_group: 30.0000
Time - 0028.png: 5.4061, num_target: 25.0000, num_group: 30.0000
PSNR - 0028.png: 11.8348, num_target: 25.0000, num_group: 35.0000
RSE - 0028.png: 0.4073, num_target: 25.0000, num_group: 35.0000
Time - 0028.png: 7.1298, num_target: 25.0000, num_group: 35.0000
PSNR - 0028.png: 13.7307, num_target: 25.0000, num_group: 40.0000
RSE - 0028.png: 0.3274, num_target: 25.0000, num_group: 40.0000
Time - 0028.png: 8.3264, num_target: 25.0000, num_group: 40.0000
PSNR - 0028.png: 15.7829, num_target: 25.0000, num_group: 45.0000
RSE - 0028.png: 0.2585, num_target: 25.0000, num_group: 45.0000
Time - 0028.png: 11.7906, num_target: 25.0000, num_group: 45.0000
PSNR - 0028.png: 12.2810, num_target: 25.0000, num_group: 50.0000
RSE - 0028.png: 0.3869, num_target: 25.0000, num_group: 50.0000
Time - 0028.png: 14.5493, num_target: 25.0000, num_group: 50.0000
PSNR - 0028.png: 8.4497, num_target: 30.0000, num_group: 10.0000
RSE - 0028.png: 0.6014, num_target: 30.0000, num_group: 10.0000
