Time - 0020.png: 0.4955, num_target: 10.0000, num_group: 10.0000
PSNR - 0020.png: 9.5219, num_target: 10.0000, num_group: 15.0000
RSE - 0020.png: 0.8201, num_target: 10.0000, num_group: 15.0000
Time - 0020.png: 1.0133, num_target: 10.0000, num_group: 15.0000
PSNR - 0020.png: 11.9144, num_target: 10.0000, num_group: 20.0000
RSE - 0020.png: 0.6226, num_target: 10.0000, num_group: 20.0000
Time - 0020.png: 1.2954, num_target: 10.0000, num_group: 20.0000
PSNR - 0020.png: 10.9944, num_target: 10.0000, num_group: 25.0000
RSE - 0020.png: 0.6922, num_target: 10.0000, num_group: 25.0000
Time - 0020.png: 1.8485, num_target: 10.0000, num_group: 25.0000
PSNR - 0020.png: 12.7867, num_target: 10.0000, num_group: 30.0000
RSE - 0020.png: 0.5631, num_target: 10.0000, num_group: 30.0000
Time - 0020.png: 2.3934, num_target: 10.0000, num_group: 30.0000
PSNR - 0020.png: 11.9717, num_target: 10.0000, num_group: 35.0000
RSE - 0020.png: 0.6185, num_target: 10.0000, num_group: 35.0000
Time - 0020.png: 3.2276, num_target: 10.0000, num_group: 35.0000
PSNR - 0020.png: 12.7722, num_target: 10.0000, num_group: 40.0000
RSE - 0020.png: 0.5641, num_target: 10.0000, num_group: 40.0000
Time - 0020.png: 3.8393, num_target: 10.0000, num_group: 40.0000
PSNR - 0020.png: 15.2271, num_target: 10.0000, num_group: 45.0000
RSE - 0020.png: 0.4252, num_target: 10.0000, num_group: 45.0000
Time - 0020.png: 4.8291, num_target: 10.0000, num_group: 45.0000
PSNR - 0020.png: 13.9928, num_target: 10.0000, num_group: 50.0000
RSE - 0020.png: 0.4901, num_target: 10.0000, num_group: 50.0000
Time - 0020.png: 5.4310, num_target: 10.0000, num_group: 50.0000
PSNR - 0020.png: 11.1997, num_target: 15.0000, num_group: 10.0000
RSE - 0020.png: 0.6760, num_target: 15.0000, num_group: 10.0000
Time - 0020.png: 0.4853, num_target: 15.0000, num_group: 10.0000
PSNR - 0020.png: 11.6637, num_target: 15.0000, num_group: 15.0000
RSE - 0020.png: 0.6409, num_target: 15.0000, num_group: 15.0000
Time - 0020.png: 0.9513, num_target: 15.0000, num_group: 15.0000
PSNR - 0020.png: 10.9891, num_target: 15.0000, num_group: 20.0000
RSE - 0020.png: 0.6926, num_target: 15.0000, num_group: 20.0000
Time - 0020.png: 1.3608, num_target: 15.0000, num_group: 20.0000
PSNR - 0020.png: 12.6091, num_target: 15.0000, num_group: 25.0000
RSE - 0020.png: 0.5748, num_target: 15.0000, num_group: 25.0000
Time - 0020.png: 1.6110, num_target: 15.0000, num_group: 25.0000
PSNR - 0020.png: 14.1690, num_target: 15.0000, num_group: 30.0000
RSE - 0020.png: 0.4803, num_target: 15.0000, num_group: 30.0000
Time - 0020.png: 2.3859, num_target: 15.0000, num_group: 30.0000
PSNR - 0020.png: 14.2484, num_target: 15.0000, num_group: 35.0000
RSE - 0020.png: 0.4759, num_target: 15.0000, num_group: 35.0000
Time - 0020.png: 3.3271, num_target: 15.0000, num_group: 35.0000
PSNR - 0020.png: 13.7982, num_target: 15.0000, num_group: 40.0000
RSE - 0020.png: 0.5012, num_target: 15.0000, num_group: 40.0000
Time - 0020.png: 3.4698, num_target: 15.0000, num_group: 40.0000
PSNR - 0020.png: 12.4020, num_target: 15.0000, num_group: 45.0000
RSE - 0020.png: 0.5886, num_target: 15.0000, num_group: 45.0000
Time - 0020.png: 4.8248, num_target: 15.0000, num_group: 45.0000
PSNR - 0020.png: 17.7331, num_target: 15.0000, num_group: 50.0000
RSE - 0020.png: 0.3186, num_target: 15.0000, num_group: 50.0000
Time - 0020.png: 5.8595, num_target: 15.0000, num_group: 50.0000
PSNR - 0020.png: 12.0062, num_target: 20.0000, num_group: 10.0000
RSE - 0020.png: 0.6161, num_target: 20.0000, num_group: 10.0000
Time - 0020.png: 0.5826, num_target: 20.0000, num_group: 10.0000
PSNR - 0020.png: 14.2654, num_target: 20.0000, num_group: 15.0000
RSE - 0020.png: 0.4750, num_target: 20.0000, num_group: 15.0000
Time - 0020.png: 0.7560, num_target: 20.0000, num_group: 15.0000
PSNR - 0020.png: 13.3901, num_target: 20.0000, num_group: 20.0000
RSE - 0020.png: 0.5253, num_target: 20.0000, num_group: 20.0000
Time - 0020.png: 1.0274, num_target: 20.0000, num_group: 20.0000
PSNR - 0020.png: 12.4475, num_target: 20.0000, num_group: 25.0000
RSE - 0020.png: 0.5856, num_target: 20.0000, num_group: 25.0000
Time - 0020.png: 1.8771, num_target: 20.0000, num_group: 25.0000
PSNR - 0020.png: 15.9787, num_target: 20.0000, num_group: 30.0000
RSE - 0020.png: 0.3900, num_target: 20.0000, num_group: 30.0000
Time - 0020.png: 2.4784, num_target: 20.0000, num_group: 30.0000
PSNR - 0020.png: 16.4629, num_target: 20.0000, num_group: 35.0000
RSE - 0020.png: 0.3688, num_target: 20.0000, num_group: 35.0000
Time - 0020.png: 3.3853, num_target: 20.0000, num_group: 35.0000
PSNR - 0020.png: 16.0930, num_target: 20.0000, num_group: 40.0000
RSE - 0020.png: 0.3849, num_target: 20.0000, num_group: 40.0000
Time - 0020.png: 3.5107, num_target: 20.0000, num_group: 40.0000
PSNR - 0020.png: 13.9321, num_target: 20.0000, num_group: 45.0000
RSE - 0020.png: 0.4936, num_target: 20.0000, num_group: 45.0000
Time - 0020.png: 5.1388, num_target: 20.0000, num_group: 45.0000
PSNR - 0020.png: 14.4078, num_target: 20.0000, num_group: 50.0000
RSE - 0020.png: 0.4673, num_target: 20.0000, num_group: 50.0000
Time - 0020.png: 5.8818, num_target: 20.0000, num_group: 50.0000
PSNR - 0020.png: 11.6191, num_target: 25.0000, num_group: 10.0000
RSE - 0020.png: 0.6442, num_target: 25.0000, num_group: 10.0000
Time - 0020.png: 0.5040, num_target: 25.0000, num_group: 10.0000
PSNR - 0020.png: 12.2626, num_target: 25.0000, num_group: 15.0000
RSE - 0020.png: 0.5982, num_target: 25.0000, num_group: 15.0000
Time - 0020.png: 1.0274, num_target: 25.0000, num_group: 15.0000
PSNR - 0020.png: 15.6874, num_target: 25.0000, num_group: 20.0000
RSE - 0020.png: 0.4033, num_target: 25.0000, num_group: 20.0000
Time - 0020.png: 1.0539, num_target: 25.0000, num_group: 20.0000
PSNR - 0020.png: 14.1417, num_target: 25.0000, num_group: 25.0000
RSE - 0020.png: 0.4818, num_target: 25.0000, num_group: 25.0000
Time - 0020.png: 1.6340, num_target: 25.0000, num_group: 25.0000
PSNR - 0020.png: 16.6408, num_target: 25.0000, num_group: 30.0000
RSE - 0020.png: 0.3613, num_target: 25.0000, num_group: 30.0000
Time - 0020.png: 2.3586, num_target: 25.0000, num_group: 30.0000
PSNR - 0020.png: 18.5002, num_target: 25.0000, num_group: 35.0000
RSE - 0020.png: 0.2917, num_target: 25.0000, num_group: 35.0000
Time - 0020.png: 3.3395, num_target: 25.0000, num_group: 35.0000
PSNR - 0020.png: 18.0555, num_target: 25.0000, num_group: 40.0000
RSE - 0020.png: 0.3070, num_target: 25.0000, num_group: 40.0000
Time - 0020.png: 3.6618, num_target: 25.0000, num_group: 40.0000
PSNR - 0020.png: 13.5810, num_target: 25.0000, num_group: 45.0000
RSE - 0020.png: 0.5139, num_target: 25.0000, num_group: 45.0000
Time - 0020.png: 5.1383, num_target: 25.0000, num_group: 45.0000
PSNR - 0020.png: 13.6673, num_target: 25.0000, num_group: 50.0000
RSE - 0020.png: 0.5088, num_target: 25.0000, num_group: 50.0000
Time - 0020.png: 5.5219, num_target: 25.0000, num_group: 50.0000
PSNR - 0020.png: 12.3974, num_target: 30.0000, num_group: 10.0000
RSE - 0020.png: 0.5889, num_target: 30.0000, num_group: 10.0000
Time - 0020.png: 0.4244, num_target: 30.0000, num_group: 10.0000
PSNR - 0020.png: 15.2063, num_target: 30.0000, num_group: 15.0000
RSE - 0020.png: 0.4262, num_target: 30.0000, num_group: 15.0000
Time - 0020.png: 0.7500, num_target: 30.0000, num_group: 15.0000
PSNR - 0020.png: 16.0198, num_target: 30.0000, num_group: 20.0000
RSE - 0020.png: 0.3881, num_target: 30.0000, num_group: 20.0000
Time - 0020.png: 1.2722, num_target: 30.0000, num_group: 20.0000
PSNR - 0020.png: 16.1036, num_target: 30.0000, num_group: 25.0000
RSE - 0020.png: 0.3844, num_target: 30.0000, num_group: 25.0000
Time - 0020.png: 1.9549, num_target: 30.0000, num_group: 25.0000
PSNR - 0020.png: 18.6556, num_target: 30.0000, num_group: 30.0000
RSE - 0020.png: 0.2865, num_target: 30.0000, num_group: 30.0000
Time - 0020.png: 2.5033, num_target: 30.0000, num_group: 30.0000
PSNR - 0020.png: 15.3934, num_target: 30.0000, num_group: 35.0000
RSE - 0020.png: 0.4171, num_target: 30.0000, num_group: 35.0000
Time - 0020.png: 3.2164, num_target: 30.0000, num_group: 35.0000
