RSE - 0020.png: 0.2595, num_target: 20.0000, num_group: 45.0000
Time - 0020.png: 12.8085, num_target: 20.0000, num_group: 45.0000
PSNR - 0020.png: 16.3071, num_target: 20.0000, num_group: 50.0000
RSE - 0020.png: 0.3755, num_target: 20.0000, num_group: 50.0000
Time - 0020.png: 13.2370, num_target: 20.0000, num_group: 50.0000
PSNR - 0020.png: 11.2975, num_target: 25.0000, num_group: 10.0000
RSE - 0020.png: 0.6685, num_target: 25.0000, num_group: 10.0000
Time - 0020.png: 1.6085, num_target: 25.0000, num_group: 10.0000
PSNR - 0020.png: 12.5901, num_target: 25.0000, num_group: 15.0000
RSE - 0020.png: 0.5760, num_target: 25.0000, num_group: 15.0000
Time - 0020.png: 2.1503, num_target: 25.0000, num_group: 15.0000
PSNR - 0020.png: 13.4891, num_target: 25.0000, num_group: 20.0000
RSE - 0020.png: 0.5194, num_target: 25.0000, num_group: 20.0000
Time - 0020.png: 3.1628, num_target: 25.0000, num_group: 20.0000
PSNR - 0020.png: 13.8699, num_target: 25.0000, num_group: 25.0000
RSE - 0020.png: 0.4971, num_target: 25.0000, num_group: 25.0000
Time - 0020.png: 5.7754, num_target: 25.0000, num_group: 25.0000
PSNR - 0020.png: 12.6039, num_target: 25.0000, num_group: 30.0000
RSE - 0020.png: 0.5751, num_target: 25.0000, num_group: 30.0000
Time - 0020.png: 5.4054, num_target: 25.0000, num_group: 30.0000
PSNR - 0020.png: 13.6527, num_target: 25.0000, num_group: 35.0000
RSE - 0020.png: 0.5097, num_target: 25.0000, num_group: 35.0000
Time - 0020.png: 7.2587, num_target: 25.0000, num_group: 35.0000
PSNR - 0020.png: 17.5429, num_target: 25.0000, num_group: 40.0000
RSE - 0020.png: 0.3257, num_target: 25.0000, num_group: 40.0000
Time - 0020.png: 8.7273, num_target: 25.0000, num_group: 40.0000
PSNR - 0020.png: 23.4734, num_target: 25.0000, num_group: 45.0000
RSE - 0020.png: 0.1645, num_target: 25.0000, num_group: 45.0000
Time - 0020.png: 15.3054, num_target: 25.0000, num_group: 45.0000
PSNR - 0020.png: 16.3613, num_target: 25.0000, num_group: 50.0000
RSE - 0020.png: 0.3732, num_target: 25.0000, num_group: 50.0000
Time - 0020.png: 15.9678, num_target: 25.0000, num_group: 50.0000
PSNR - 0020.png: 12.7023, num_target: 30.0000, num_group: 10.0000
RSE - 0020.png: 0.5686, num_target: 30.0000, num_group: 10.0000
Time - 0020.png: 2.5165, num_target: 30.0000, num_group: 10.0000
PSNR - 0020.png: 15.8989, num_target: 30.0000, num_group: 15.0000
RSE - 0020.png: 0.3936, num_target: 30.0000, num_group: 15.0000
Time - 0020.png: 2.2264, num_target: 30.0000, num_group: 15.0000
PSNR - 0020.png: 15.0550, num_target: 30.0000, num_group: 20.0000
RSE - 0020.png: 0.4337, num_target: 30.0000, num_group: 20.0000
Time - 0020.png: 3.0693, num_target: 30.0000, num_group: 20.0000
PSNR - 0020.png: 14.9727, num_target: 30.0000, num_group: 25.0000
RSE - 0020.png: 0.4378, num_target: 30.0000, num_group: 25.0000
Time - 0020.png: 4.4547, num_target: 30.0000, num_group: 25.0000
PSNR - 0020.png: 17.2183, num_target: 30.0000, num_group: 30.0000
RSE - 0020.png: 0.3381, num_target: 30.0000, num_group: 30.0000
Time - 0020.png: 5.4151, num_target: 30.0000, num_group: 30.0000
PSNR - 0020.png: 17.4448, num_target: 30.0000, num_group: 35.0000
RSE - 0020.png: 0.3294, num_target: 30.0000, num_group: 35.0000
Time - 0020.png: 8.2236, num_target: 30.0000, num_group: 35.0000
PSNR - 0020.png: 20.2762, num_target: 30.0000, num_group: 40.0000
RSE - 0020.png: 0.2378, num_target: 30.0000, num_group: 40.0000
Time - 0020.png: 9.7310, num_target: 30.0000, num_group: 40.0000
PSNR - 0020.png: 17.2086, num_target: 30.0000, num_group: 45.0000
RSE - 0020.png: 0.3385, num_target: 30.0000, num_group: 45.0000
Time - 0020.png: 13.6105, num_target: 30.0000, num_group: 45.0000
PSNR - 0020.png: 23.7278, num_target: 30.0000, num_group: 50.0000
RSE - 0020.png: 0.1598, num_target: 30.0000, num_group: 50.0000
Time - 0020.png: 14.9486, num_target: 30.0000, num_group: 50.0000
PSNR - 0020.png: 13.7957, num_target: 35.0000, num_group: 10.0000
RSE - 0020.png: 0.5014, num_target: 35.0000, num_group: 10.0000
Time - 0020.png: 1.4156, num_target: 35.0000, num_group: 10.0000
PSNR - 0020.png: 12.6687, num_target: 35.0000, num_group: 15.0000
RSE - 0020.png: 0.5708, num_target: 35.0000, num_group: 15.0000
Time - 0020.png: 2.6294, num_target: 35.0000, num_group: 15.0000
PSNR - 0020.png: 15.0016, num_target: 35.0000, num_group: 20.0000
RSE - 0020.png: 0.4364, num_target: 35.0000, num_group: 20.0000
Time - 0020.png: 3.0242, num_target: 35.0000, num_group: 20.0000
PSNR - 0020.png: 18.7600, num_target: 35.0000, num_group: 25.0000
